min_salary,max_salary,ref,name,currency
50000.0,60000.0,https://adsrv.hh.ru/click?b=478668&c=9&place=35&meta=iHiML71B5opvXUdOv09dom4Ink4VBl-aNiWKmNTDPQzAqBc1dTnpdbm8j3RC4AV2bCQt-ro72Q33aKbueZONRpK9oA5lhkGZVJYJhe_IApOW4AErBdcRbhoKCePsx_EgxMcglXaxCVp1pBVHFxxQuv4O3LKI-vnCSNh47qRPwgNd2kjCXOyGSW7kMUM-biN_ZGEcQPeKXHsyNeNttrglv3fw7kHYR4xZgcl9mStYSGjeFrhAx643NrXMwBdby7PkuXlHAQFgMxpv4zQ768z5ePzpxFtc8LpZSFHoGGJZKNCd-CM_4rNp2QpdGiB8bi-awMXBRzHePf9K3SEafuxk-DeMzKjjhTk_0XZ1mLLt6kxKO3gOdQ08_HMnLUiC7cx_9cEvpe0F5_b5ciTv0d7PQFbD837nSOeuWAKTr5-ykso1lj2XUBDCFnZhS56u52x6LMdaQl0kXzfWeWJlXIJMdn2R3IXf0RNn_1U29IE20bPGENbcdEWTstG_fO3WDg3cfIVSkS2STsKFxcPmzVo37g%3D%3D&clickType=link_to_vacancy,Сервисный инженер,₽
60000.0,120000.0,https://adsrv.hh.ru/click?b=463466&c=33&place=36&meta=h7DH11Y3ix7pZEnT5onOoMYI4OU8OmvRdcj_5xjXvZmZE72uC8G34Krauh1eHvDjQuAknnUIt5WuXnntfU2535HkKsSfFvYxdWj27tp-JZ-qoRJVjVY1f_EbXD30sbSyE0hjax68-YY7Rp219ce23hTkWJDRHv3RX9Rqkg_yV9lhh5CgFzE82u0jZDoViFTxuNHB6QrwCY-aXjoSAKWjMk5zoc20nn8fpYzB3OzexMANi-vVTyNHHi3UZaapzVZ_MEdd5ewfdLUMpLA_FJ0T3MiBH-UnEUyNf9oDoGi-iwWPeO1cjDWSba9maa2nI8L5OuGXxghUhfl2Ulf6VvLC21ioxIL6Zs1XQDQ8unRV_2QPqNFQkdIoYbpFvUDDvoHluNzYSTQOwMtNbbSWZ8kWMyX336nQ0NwE8iZDDDM2cMdeozDjahyp6Lx_QkMfr0K2Y5ZY1cuJLKM88qW5pXVqcQbpQieWRsUU7kiQ5GGHROwSdaf4WGAED3lWT8C6gcsOc4OmaPYCpZjQKHUPXGmkHw%3D%3D&clickType=link_to_vacancy,Инженер-конструктор,₽
,,https://hh.ru/vacancy/79672184?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Data Engineer,
120000.0,170000.0,https://hh.ru/vacancy/84067453?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-конструктор,₽
,130000.0,https://hh.ru/vacancy/84050794?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Главный инженер,₽
1500.0,,https://hh.ru/vacancy/83338130?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер по транспорту,Br
200000.0,,https://hh.ru/vacancy/84054149?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер сервисного центра / инженер-электронщик,₸
,,https://hh.ru/vacancy/84058735?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Старший инженер-химик,
70000.0,90000.0,https://hh.ru/vacancy/84052214?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Инженер-проектировщик ОВИК,₽
350000.0,750000.0,https://hh.ru/vacancy/83331641?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80,Начинающий инженер по продажам,₸
